age,position_cat,market_value,page_views,fpl_value,fpl_points,region,big_club,fpl_sel
30,3,0.5,67,4.0,0,1.0,0,1.4
21,3,0.5,83,4.0,0,2.0,0,1.1
35,3,0.5,70,4.0,0,1.0,0,1.4
27,3,2.5,107,4.5,0,2.0,0,0.2
26,3,0.75,81,4.5,0,1.0,0,0.1
26,2,5.0,588,5.5,0,4.0,0,2.5
26,1,2.0,174,5.0,0,2.0,0,0.3
28,2,1.0,75,4.5,0,1.0,0,0.3
21,2,0.5,157,4.5,0,2.0,0,0.1
24,1,0.25,63,4.5,0,1.0,0,0.1
25,2,0.25,81,4.5,0,1.0,0,0.1
35,2,0.25,161,4.5,0,1.0,0,0.1
24,1,0.5,85,4.5,0,1.0,0,0.1
26,1,0.5,85,4.5,0,2.0,0,0.1
25,1,3.5,231,6.0,0,4.0,0,0.6
25,1,7.0,512,6.0,0,1.0,0,2.6
20,1,0.75,220,5.5,0,1.0,0,0.2
26,3,0.65,3,5.0,0,3.0,0,0.1
27,1,5.0,247,5.0,0,3.0,0,0.6
26,1,1.0,126,4.5,0,2.0,0,1.6
28,1,3.0,212,5.5,0,2.0,0,0.3
30,1,15.0,2988,8.5,161,1.0,0,1.5
26,1,30.0,1753,8.5,120,4.0,0,1.7
30,4,10.0,1601,5.0,109,2.0,0,2.4
31,3,6.0,417,5.0,104,2.0,0,3.5
27,2,6.0,347,5.5,95,1.0,0,1.1
32,3,5.0,748,5.0,88,2.0,0,0.6
30,3,5.0,428,4.5,85,1.0,0,5.5
29,1,25.0,1581,7.0,83,4.0,0,0.7
24,3,8.0,488,5.0,71,1.0,0,1.5
27,2,9.0,714,5.0,69,1.0,0,0.2
33,3,3.0,649,4.5,63,3.0,0,3.3
31,1,7.0,607,5.5,63,4.0,0,1.2
20,2,14.0,821,5.0,59,4.0,0,0.5
21,1,9.0,593,5.5,58,1.0,0,1.1
22,2,5.0,356,4.5,53,4.0,0,0.3
28,2,3.0,327,4.5,41,2.0,0,0.7
24,1,17.0,742,6.5,39,4.0,0,1.5
30,3,1.0,305,4.5,27,4.0,0,0.1
30,1,6.0,472,5.0,24,2.0,0,0.2
20,3,2.5,288,4.5,19,1.0,0,0.8
25,2,10.0,325,4.5,6,2.0,0,0.1
29,4,0.5,132,4.5,0,1.0,0,0.1
26,3,1.5,171,4.5,0,4.0,0,0.0
29,2,9.0,253,6.0,0,2.0,0,0.8
25,1,38.0,2196,8.5,180,3.0,1,20.3
25,1,45.0,2958,9.0,171,3.0,1,30.8
25,1,40.0,3219,9.5,156,4.0,1,5.3
26,2,28.0,1280,7.0,149,2.0,1,7.1
31,2,12.0,1824,6.5,139,1.0,1,10.4
29,1,25.0,1808,7.5,139,1.0,1,6.4
26,3,21.0,602,5.5,129,1.0,1,4.5
29,4,12.0,721,5.0,110,2.0,1,1.6
28,3,17.0,708,5.5,106,2.0,1,1.3
23,2,15.0,1253,5.0,104,2.0,1,6.6
25,3,25.0,1313,5.5,97,2.0,1,2.3
22,1,12.0,1092,7.5,96,2.0,1,0.4
27,2,28.0,1236,5.5,73,1.0,1,1.8
27,1,20.0,2042,8.0,54,1.0,1,4.3
30,2,7.0,998,4.5,47,3.0,1,0.3
31,3,3.5,875,4.5,43,2.0,1,0.4
27,3,15.0,934,5.0,35,2.0,1,0.1
24,4,8.0,1255,5.0,32,2.0,1,0.2
18,3,1.5,327,4.5,15,2.0,1,0.3
25,3,10.0,397,4.5,8,2.0,1,0.3
17,1,1.5,1241,4.5,5,1.0,1,0.1
21,2,5.0,615,4.5,4,2.0,1,0.2
20,3,4.0,460,4.5,0,1.0,1,0.4
20,1,2.0,383,5.0,0,1.0,1,0.1
25,1,35.0,1117,9.0,0,4.0,1,12.4
24,1,8.0,748,5.5,0,1.0,1,0.1
19,1,2.0,671,5.0,0,1.0,1,2.0
26,1,65.0,2252,10.0,199,2.0,1,17.5
29,1,65.0,4046,11.5,175,3.0,1,9.7
22,1,45.0,2074,8.0,149,1.0,1,3.8
27,3,30.0,1008,6.5,142,1.0,1,18.5
31,1,30.0,1434,8.0,130,2.0,1,3.3
21,1,35.0,2302,8.5,105,2.0,1,8.8
29,3,30.0,621,5.5,100,3.0,1,3.3
31,3,10.0,633,5.5,95,2.0,1,1.1
34,2,8.0,2318,6.5,86,4.0,1,2.5
32,2,18.0,595,5.0,78,3.0,1,0.8
34,4,8.0,436,5.0,73,3.0,1,1.2
20,1,30.0,4254,10.5,67,3.0,1,15.2
23,3,35.0,1078,5.5,59,1.0,1,2.3
31,3,22.0,935,6.0,57,2.0,1,6.6
20,1,15.0,1662,7.0,52,4.0,1,1.5
26,2,30.0,1586,5.5,41,2.0,1,1.0
32,2,18.0,338,4.5,18,3.0,1,0.4
27,2,8.0,520,4.5,13,1.0,1,0.4
23,4,22.0,297,5.5,0,3.0,1,4.5
22,1,40.0,1098,8.0,0,2.0,1,4.6
24,1,50.0,3727,11.5,221,2.0,1,45.0
26,4,40.0,2126,5.5,136,2.0,1,26.1
31,3,10.0,1561,6.5,120,3.0,1,6.2
24,2,75.0,7435,8.0,115,2.0,1,19.5
23,3,30.0,1588,6.0,105,4.0,1,10.2
29,1,30.0,2280,7.0,102,2.0,1,3.5
27,3,22.0,867,5.5,98,2.0,1,1.2
27,2,30.0,1603,5.5,97,2.0,1,7.7
21,1,30.0,2430,8.0,95,2.0,1,0.6
27,3,18.0,1063,5.5,77,3.0,1,0.1
19,1,18.0,3668,7.5,76,1.0,1,4.8
28,1,35.0,3312,8.0,73,4.0,1,4.5
27,3,12.0,1640,5.5,70,2.0,1,0.3
24,1,12.0,1939,6.0,60,1.0,1,0.7
25,3,14.0,808,5.0,55,1.0,1,0.4
27,3,18.0,834,5.5,52,1.0,1,1.3
29,2,12.0,1498,5.0,48,2.0,1,0.2
22,3,20.0,947,5.0,45,1.0,1,0.4
35,2,1.5,1789,4.5,42,1.0,1,1.8
32,2,5.0,936,5.0,26,1.0,1,0.0
30,4,6.0,849,5.0,23,3.0,1,0.2
19,3,1.0,279,4.0,14,1.0,1,1.7
19,2,2.5,860,4.5,9,2.0,1,0.2
21,4,0.1,395,4.0,6,2.0,1,1.0
23,3,22.0,950,5.5,0,2.0,1,17.0
31,4,1.0,134,4.0,0,2.0,0,13.5
26,4,4.5,235,4.5,0,1.0,0,1.1
24,3,5.0,764,4.5,0,3.0,0,5.2
27,3,5.0,273,4.5,0,2.0,0,0.9
27,3,5.0,400,4.5,0,1.0,0,3.6
25,3,3.5,177,4.5,0,2.0,0,1.0
25,3,4.5,265,4.0,0,2.0,0,2.5
32,3,2.5,186,4.0,0,2.0,0,2.3
26,3,5.0,65,4.5,0,2.0,0,1.0
24,3,1.5,114,4.0,0,2.0,0,0.5
27,2,9.0,566,6.0,0,2.0,0,4.2
25,2,11.0,747,5.5,0,1.0,0,2.5
30,2,6.0,339,5.0,0,4.0,0,0.5
27,2,5.0,181,4.5,0,1.0,0,1.1
25,1,5.0,641,5.0,0,4.0,0,2.1
28,1,5.5,341,5.0,0,2.0,0,0.1
21,1,0.75,170,4.5,0,1.0,0,0.1
26,1,10.0,1351,6.5,0,1.0,0,11.4
23,1,8.0,368,5.5,0,2.0,0,1.6
22,1,10.0,781,5.0,0,2.0,0,2.5
34,1,1.5,541,4.5,0,2.0,0,2.8
29,4,15.0,548,5.0,134,1.0,0,7.3
23,1,15.0,706,6.5,126,1.0,0,11.3
27,3,20.0,578,5.5,123,1.0,0,11.2
28,1,17.0,458,6.5,108,2.0,0,4.9
25,3,15.0,338,5.0,102,2.0,0,16.4
22,2,15.0,416,5.5,92,1.0,0,2.2
25,2,10.0,476,4.5,80,2.0,0,4.2
28,3,5.0,317,5.0,78,4.0,0,1.1
32,2,6.0,310,5.0,77,2.0,0,0.2
26,3,30.0,1102,5.5,75,2.0,0,4.0
28,1,13.0,874,6.5,62,1.0,0,2.1
23,3,3.5,249,5.0,60,1.0,0,0.4
30,1,9.0,703,6.0,57,2.0,0,0.3
23,1,15.0,590,6.0,40,4.0,0,0.3
26,2,10.0,201,4.5,38,2.0,0,0.4
21,2,8.0,368,4.5,38,2.0,0,0.4
25,1,15.0,2012,7.0,38,2.0,0,5.2
22,2,0.75,221,4.5,23,1.0,0,0.1
21,3,3.0,110,4.5,12,1.0,0,0.2
20,1,0.5,126,4.5,12,1.0,0,0.1
28,2,3.5,136,4.5,5,2.0,0,0.1
21,3,0.25,53,4.5,0,1.0,0,0.1
21,3,0.5,9,4.5,0,2.0,0,0.4
27,2,15.0,523,5.5,118,2.0,0,6.0
28,1,15.0,579,7.0,117,1.0,0,0.7
34,4,1.0,480,4.5,106,1.0,0,1.2
28,3,7.0,134,5.0,103,2.0,0,1.3
30,1,3.0,522,5.0,103,2.0,0,1.0
29,3,11.0,281,5.0,94,2.0,0,1.0
25,1,15.0,1000,6.0,80,2.0,0,3.2
36,1,1.5,2656,5.0,79,1.0,0,2.9
33,2,2.5,182,4.5,62,2.0,0,0.4
31,2,3.5,561,5.0,59,2.0,0,0.1
32,3,3.0,260,4.5,58,4.0,0,0.5
32,3,5.0,512,4.5,56,1.0,0,0.8
29,1,7.0,310,5.5,51,4.0,0,0.4
20,1,5.0,461,5.0,36,4.0,0,1.1
25,3,3.0,172,4.5,34,2.0,0,0.2
26,1,5.0,1325,5.5,30,2.0,0,0.2
32,3,1.5,365,4.5,27,2.0,0,0.0
23,1,15.0,841,6.0,26,1.0,0,0.8
24,2,12.0,238,4.5,24,2.0,0,0.2
24,4,15.0,402,5.0,20,1.0,0,2.8
31,2,3.0,461,5.0,15,2.0,0,0.0
18,3,1.0,120,4.5,9,1.0,0,0.1
27,1,25.0,861,8.5,181,2.0,0,8.7
32,1,6.0,1423,7.5,146,2.0,0,0.7
32,4,9.0,285,4.5,116,2.0,0,6.2
27,2,8.0,411,5.5,95,2.0,0,0.6
23,3,6.0,509,5.0,94,1.0,0,1.8
28,3,5.0,170,4.5,82,1.0,0,2.0
32,1,2.5,264,5.5,74,1.0,0,0.1
28,3,9.0,116,4.5,63,3.0,0,0.4
29,3,5.0,458,5.0,52,2.0,0,0.3
25,2,6.0,432,4.5,52,1.0,0,4.3
28,2,7.0,478,5.0,41,4.0,0,0.0
25,1,7.5,676,5.0,39,4.0,0,2.0
24,1,3.0,437,5.0,34,4.0,0,0.1
34,2,1.0,218,4.5,32,1.0,0,0.1
22,3,0.75,168,4.5,29,2.0,0,0.2
34,3,1.0,137,4.0,26,2.0,0,18.8
26,1,5.0,448,5.0,25,2.0,0,0.1
23,2,0.5,104,4.5,19,2.0,0,0.1
27,1,4.5,187,5.0,18,3.0,0,0.1
24,3,2.0,154,4.5,16,2.0,0,0.1
29,1,3.5,313,4.5,12,1.0,0,0.1
21,1,0.25,149,4.5,5,2.0,0,0.7
28,4,1.5,82,4.0,3,2.0,0,1.7
28,2,12.0,110,4.5,0,2.0,0,0.9
19,1,8.0,1227,5.5,0,1.0,0,3.3
21,2,45.0,4626,9.5,225,1.0,1,38.6
23,1,60.0,4161,12.5,224,1.0,1,35.1
25,1,40.0,1130,9.5,218,2.0,1,12.0
25,1,30.0,2185,8.0,174,4.0,1,1.6
30,4,24.0,847,5.5,143,2.0,1,12.6
30,3,28.0,511,6.0,126,2.0,1,9.0
28,3,35.0,756,6.0,120,2.0,1,13.3
26,2,25.0,1002,5.0,103,4.0,1,3.1
23,2,25.0,1239,5.0,93,1.0,1,3.5
24,3,12.0,396,5.5,90,2.0,1,1.8
27,3,28.0,848,6.5,84,1.0,1,0.6
30,2,18.0,1161,5.0,76,2.0,1,1.8
23,1,13.0,1135,7.5,55,2.0,1,0.1
26,3,10.0,525,5.5,51,1.0,1,17.3
27,2,20.0,1162,5.5,43,2.0,1,0.3
