age,position_cat,page_views,fpl_value,fpl_points,region,big_club,fpl_sel,market_value
26,3,1102,5.5,75,2,0,4,30
28,1,874,6.5,62,1,0,2.1,13
23,3,249,5,60,1,0,0.4,3.5
30,1,703,6,57,2,0,0.3,9
23,1,590,6,40,4,0,0.3,15
26,2,201,4.5,38,2,0,0.4,10
21,2,368,4.5,38,2,0,0.4,8
25,1,2012,7,38,2,0,5.2,15
22,2,221,4.5,23,1,0,0.1,0.75
21,3,110,4.5,12,1,0,0.2,3
20,1,126,4.5,12,1,0,0.1,0.5
28,2,136,4.5,5,2,0,0.1,3.5
21,3,53,4.5,0,1,0,0.1,0.25
21,3,9,4.5,0,2,0,0.4,0.5
27,2,523,5.5,118,2,0,6,15
28,1,579,7,117,1,0,0.7,15
34,4,480,4.5,106,1,0,1.2,1
28,3,134,5,103,2,0,1.3,7
30,1,522,5,103,2,0,1,3
29,3,281,5,94,2,0,1,11
25,1,1000,6,80,2,0,3.2,15
36,1,2656,5,79,1,0,2.9,1.5
33,2,182,4.5,62,2,0,0.4,2.5
31,2,561,5,59,2,0,0.1,3.5
32,3,260,4.5,58,4,0,0.5,3
32,3,512,4.5,56,1,0,0.8,5
29,1,310,5.5,51,4,0,0.4,7
20,1,461,5,36,4,0,1.1,5
25,3,172,4.5,34,2,0,0.2,3
26,1,1325,5.5,30,2,0,0.2,5
32,3,365,4.5,27,2,0,0,1.5
23,1,841,6,26,1,0,0.8,15
24,2,238,4.5,24,2,0,0.2,12
24,4,402,5,20,1,0,2.8,15
31,2,461,5,15,2,0,0,3
18,3,120,4.5,9,1,0,0.1,1
27,1,861,8.5,181,2,0,8.7,25
32,1,1423,7.5,146,2,0,0.7,6
32,4,285,4.5,116,2,0,6.2,9
27,2,411,5.5,95,2,0,0.6,8
23,3,509,5,94,1,0,1.8,6
28,3,170,4.5,82,1,0,2,5
32,1,264,5.5,74,1,0,0.1,2.5
28,3,116,4.5,63,3,0,0.4,9
29,3,458,5,52,2,0,0.3,5
25,2,432,4.5,52,1,0,4.3,6
28,2,478,5,41,4,0,0,7
25,1,676,5,39,4,0,2,7.5
24,1,437,5,34,4,0,0.1,3
34,2,218,4.5,32,1,0,0.1,1
22,3,168,4.5,29,2,0,0.2,0.75
34,3,137,4,26,2,0,18.8,1
26,1,448,5,25,2,0,0.1,5
23,2,104,4.5,19,2,0,0.1,0.5
27,1,187,5,18,3,0,0.1,4.5
24,3,154,4.5,16,2,0,0.1,2
29,1,313,4.5,12,1,0,0.1,3.5
21,1,149,4.5,5,2,0,0.7,0.25
28,4,82,4,3,2,0,1.7,1.5
28,2,110,4.5,0,2,0,0.9,12
